n,theta,acceptance_pct,acc_ci_lo,acc_ci_hi,correctness_pct,corr_ci_lo,corr_ci_hi,median_list_size,q25_list_size,q75_list_size,median_postselection_rate
4,0.05,0.8400,0.7558,0.8990,0.8400,0.7558,0.8990,16.0,16.0,16.0,0.4985
4,0.08,0.8400,0.7558,0.8990,0.8400,0.7558,0.8990,16.0,16.0,16.0,0.5012
4,0.1,0.8000,0.7112,0.8666,0.8000,0.7112,0.8666,16.0,16.0,16.0,0.5000
4,0.12,0.7800,0.6893,0.8500,0.7800,0.6893,0.8500,16.0,16.0,16.0,0.5025
4,0.15,0.8100,0.7222,0.8749,0.8100,0.7222,0.8749,16.0,16.0,16.0,0.4995
4,0.2,0.8200,0.7333,0.8830,0.8200,0.7333,0.8830,16.0,16.0,16.0,0.4982
4,0.3,0.7900,0.7002,0.8583,0.7900,0.7002,0.8583,15.0,15.0,16.0,0.4995
4,0.5,0.2100,0.1417,0.2998,0.2100,0.1417,0.2998,1.0,1.0,1.0,0.5017
6,0.05,0.9600,0.9016,0.9843,0.9600,0.9016,0.9843,64.0,64.0,64.0,0.4985
6,0.08,0.9800,0.9300,0.9945,0.9800,0.9300,0.9945,64.0,64.0,64.0,0.5002
6,0.1,0.9600,0.9016,0.9843,0.9600,0.9016,0.9843,63.0,63.0,64.0,0.5008
6,0.12,0.9200,0.8500,0.9589,0.9200,0.8500,0.9589,61.0,60.0,62.0,0.5028
6,0.15,0.9300,0.8625,0.9657,0.9300,0.8625,0.9657,49.0,47.0,51.0,0.4992
6,0.2,0.8200,0.7333,0.8830,0.8200,0.7333,0.8830,14.0,12.0,16.0,0.5022
6,0.3,0.1800,0.1170,0.2667,0.1800,0.1170,0.2667,1.0,1.0,2.0,0.4990
6,0.5,0.2200,0.1500,0.3107,0.2200,0.1500,0.3107,1.0,1.0,1.0,0.5022
8,0.05,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,218.0,212.0,221.0,0.5032
8,0.08,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,146.0,141.0,152.0,0.5050
8,0.1,0.9800,0.9300,0.9945,0.9800,0.9300,0.9945,78.0,72.0,83.0,0.4978
8,0.12,0.9600,0.9016,0.9843,0.9600,0.9016,0.9843,35.0,31.0,39.0,0.4985
8,0.15,0.8000,0.7112,0.8666,0.8000,0.7112,0.8666,7.0,6.0,8.0,0.5010
8,0.2,0.5500,0.4524,0.6439,0.5500,0.4524,0.6439,3.0,3.0,4.0,0.4995
8,0.3,0.1900,0.1251,0.2778,0.1900,0.1251,0.2778,1.0,1.0,1.0,0.5010
8,0.5,0.1600,0.1010,0.2442,0.1600,0.1010,0.2442,1.0,1.0,1.0,0.5000
10,0.05,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,385.5,374.0,397.2,0.5005
10,0.08,0.9600,0.9016,0.9843,0.9600,0.9016,0.9843,87.0,82.0,92.0,0.5010
10,0.1,0.8200,0.7333,0.8830,0.8200,0.7333,0.8830,17.0,15.0,19.0,0.4998
10,0.12,0.7500,0.6570,0.8245,0.7500,0.6570,0.8245,5.0,4.0,6.0,0.4988
10,0.15,0.6900,0.5937,0.7722,0.6900,0.5937,0.7722,4.0,4.0,4.0,0.5005
10,0.2,0.4200,0.3280,0.5179,0.4200,0.3280,0.5179,3.0,2.0,3.0,0.5020
10,0.3,0.1600,0.1010,0.2442,0.1600,0.1010,0.2442,1.0,1.0,1.0,0.4988
10,0.5,0.2200,0.1500,0.3107,0.2200,0.1500,0.3107,1.0,1.0,1.0,0.4985
12,0.05,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,457.0,446.0,466.8,0.5002
12,0.08,0.8600,0.7786,0.9147,0.8600,0.7786,0.9147,30.0,27.0,33.0,0.5000
12,0.1,0.7200,0.6251,0.7986,0.7200,0.6251,0.7986,5.0,4.0,5.0,0.4960
12,0.12,0.7900,0.7002,0.8583,0.7900,0.7002,0.8583,4.0,4.0,4.0,0.5010
12,0.15,0.7200,0.6251,0.7986,0.7200,0.6251,0.7986,4.0,4.0,4.0,0.5017
12,0.2,0.3900,0.3002,0.4880,0.3900,0.3002,0.4880,2.0,2.0,3.0,0.4998
12,0.3,0.1000,0.0552,0.1744,0.1000,0.0552,0.1744,1.0,1.0,1.0,0.4972
12,0.5,0.2200,0.1500,0.3107,0.2200,0.1500,0.3107,1.0,1.0,1.0,0.5015
14,0.05,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,476.5,466.0,489.0,0.5002
14,0.08,0.7900,0.7002,0.8583,0.7900,0.7002,0.8583,11.0,9.0,12.0,0.5012
14,0.1,0.8100,0.7222,0.8749,0.8100,0.7222,0.8749,4.0,4.0,4.0,0.5017
14,0.12,0.7300,0.6357,0.8073,0.7300,0.6357,0.8073,4.0,4.0,4.0,0.4972
14,0.15,0.6900,0.5937,0.7722,0.6900,0.5937,0.7722,4.0,4.0,4.0,0.4992
14,0.2,0.4800,0.3846,0.5768,0.4800,0.3846,0.5768,3.0,2.0,3.0,0.4995
14,0.3,0.1300,0.0776,0.2098,0.1300,0.0776,0.2098,1.0,1.0,1.0,0.4995
14,0.5,0.1700,0.1089,0.2555,0.1700,0.1089,0.2555,1.0,1.0,1.0,0.4995
16,0.05,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,484.0,470.0,497.0,0.4992
16,0.08,0.7600,0.6677,0.8331,0.7600,0.6677,0.8331,6.0,5.0,7.0,0.4992
16,0.1,0.7100,0.6146,0.7899,0.7100,0.6146,0.7899,4.0,4.0,4.0,0.5005
16,0.12,0.7100,0.6146,0.7899,0.7100,0.6146,0.7899,4.0,4.0,4.0,0.4978
16,0.15,0.7400,0.6463,0.8160,0.7400,0.6463,0.8160,4.0,4.0,4.0,0.5000
16,0.2,0.4500,0.3561,0.5476,0.4500,0.3561,0.5476,2.0,2.0,3.0,0.4965
16,0.3,0.1700,0.1089,0.2555,0.1700,0.1089,0.2555,1.0,1.0,1.0,0.5008
16,0.5,0.1700,0.1089,0.2555,0.1700,0.1089,0.2555,1.0,1.0,1.0,0.5010
